x,y,action,reward,points,fuel
3,11,-1,0.0,0.0,50.0
2,11,0,-1.5,0.0,49.79999923706055
2,10,2,-0.24640753865242004,0.0,49.57008743286133
2,11,3,0.24341654777526855,0.0,49.370086669921875
2,10,2,-0.24640753865242004,0.0,49.140174865722656
1,10,0,-1.4450100660324097,0.0,48.90249252319336
1,11,3,0.18240797519683838,0.0,48.679988861083984
1,10,2,-0.18465828895568848,0.0,48.47998809814453
2,10,1,1.44124174118042,0.0,48.27998733520508
1,10,0,-1.4450100660324097,0.0,48.04230499267578
0,10,0,-1.4639455080032349,0.0,47.84156036376953
0,11,3,0.1480513960123062,0.0,47.63677978515625
1,11,1,1.4983021020889282,0.0,47.4197998046875
1,10,2,-0.18465828895568848,0.0,47.21979904174805
2,10,1,1.44124174118042,0.0,47.019798278808594
3,10,1,1.387532353401184,0.0,46.80197525024414
2,10,0,-1.3893145322799683,0.0,46.60197448730469
2,11,3,0.24341654777526855,0.0,46.401973724365234
1,11,0,-1.509009599685669,0.0,46.11187744140625
1,10,2,-0.18465828895568848,0.0,45.9118766784668
1,11,3,0.18240797519683838,0.0,45.68937301635742
1,11,3,0.0,0.0,45.48937225341797
1,11,3,0.0,0.0,45.289371490478516
2,11,1,1.5,0.0,45.08937072753906
2,10,2,-0.24640753865242004,0.0,44.859458923339844
2,9,2,-0.6649103164672852,0.0,44.65945816040039
3,9,1,1.163161039352417,0.0,44.4342041015625
3,10,3,0.8863961100578308,0.0,44.2127799987793
3,11,3,0.3541020154953003,0.0,44.012779235839844
2,11,0,-1.5,0.0,43.81277847290039
3,11,1,1.4959158897399902,0.0,43.571937561035156
4,11,1,1.4985626935958862,0.0,43.35756301879883
3,11,0,-1.5,0.0,43.157562255859375
3,11,3,0.0,0.0,42.95756149291992
2,11,0,-1.5,0.0,42.75756072998047
2,11,3,0.0,0.0,42.557559967041016
3,11,1,1.4959158897399902,0.0,42.31671905517578
3,10,2,-0.35479113459587097,0.0,42.10982894897461
4,10,1,1.2327816486358643,0.0,41.909828186035156
5,10,1,0.6205032467842102,0.0,41.701656341552734
5,11,3,-2.1848950386047363,2.5,41.499290466308594
6,11,1,1.4367793798446655,2.5,41.25466537475586
7,11,1,1.3860447406768799,2.5,41.02196502685547
7,11,3,0.0,2.5,40.821964263916016
6,11,0,-1.3893145322799683,2.5,40.62196350097656
7,11,1,1.3860447406768799,2.5,40.38926315307617
8,11,1,1.2322992086410522,2.5,40.1844367980957
8,10,2,0.6213203072547913,2.5,39.98443603515625
8,9,2,-0.6218257546424866,2.5,39.779380798339844
8,10,3,0.6213203072547913,2.5,39.57938003540039
8,9,2,-0.6218257546424866,2.5,39.374324798583984
9,9,1,0.6122002005577087,2.5,39.08312225341797
9,8,2,-1.5,2.5,38.883121490478516
9,7,2,-1.5,2.5,38.68312072753906
9,8,3,1.4948956966400146,2.5,38.43207550048828
9,9,3,1.4899654388427734,2.5,38.13172912597656
9,10,3,1.0,5.0,37.93172836303711
9,11,3,-0.36163759231567383,5.0,37.6563720703125
10,11,1,1.2327816486358643,5.0,37.45637130737305
10,10,2,0.6210370063781738,5.0,37.253536224365234
11,10,1,-8.910640716552734,7.5,36.98201370239258
11,10,1,0.0,7.5,36.782012939453125
11,10,1,0.0,7.5,36.58201217651367
11,9,2,1.18434476852417,7.5,36.34432601928711
11,8,2,1.1087729930877686,7.5,36.144325256347656
10,8,0,0.9947832822799683,7.5,35.87300491333008
9,8,0,0.8582589626312256,7.5,35.673004150390625
8,8,0,0.6652879118919373,7.5,35.43907928466797
8,9,3,-1.409085988998413,7.5,35.239078521728516
7,9,0,0.99778813123703,7.5,35.001441955566406
7,8,2,0.985281229019165,7.5,34.80144119262695
6,8,0,1.1281254291534424,7.5,34.522300720214844
5,8,0,0.9556338787078857,7.5,34.32229995727539
5,9,3,-1.2998771667480469,7.5,34.12229919433594
5,8,2,1.2950443029403687,7.5,33.87397003173828
5,9,3,-1.2998771667480469,7.5,33.67396926879883
4,9,0,0.5208837985992432,7.5,33.447349548339844
4,8,2,1.44124174118042,7.5,33.24734878540039
5,8,1,-0.6679384112358093,7.5,33.017066955566406
5,7,2,1.1656862497329712,7.5,32.81706619262695
