,ratios,policy_loss1,policy_loss2,policy_loss,value_loss,loss_hist,grad_norm_hist
0,1.0000208616256714,4.332597382017411e-05,4.332597382017411e-05,-4.332597382017411e-05,1.9732911586761475,0.2853620648384094,0.18670707941055298
1,1.0003931522369385,9.592764399712905e-05,9.592764399712905e-05,-9.592764399712905e-05,1.9599679708480835,0.28197866678237915,0.18155379593372345
2,1.0007582902908325,0.00014608669152949005,0.00014608669152949005,-0.00014608669152949005,1.9471323490142822,0.27871960401535034,0.17752164602279663
3,1.0011228322982788,0.00019523287483025342,0.00019523287483025342,-0.00019523287483025342,1.934757947921753,0.2755768299102783,0.17541243135929108
4,1.0014889240264893,0.00024418189423158765,0.00024418189423158765,-0.00024418189423158765,1.9225966930389404,0.2724875807762146,0.17561210691928864
5,1.0018601417541504,0.0002926813322119415,0.0002926813322119415,-0.0002926813322119415,1.9104868173599243,0.2694116234779358,0.17680053412914276
6,1.0022406578063965,0.0003415271930862218,0.0003415271930862218,-0.0003415271930862218,1.898302674293518,0.2663167119026184,0.17932207882404327
7,1.0026366710662842,0.00039122626185417175,0.00039122626185417175,-0.00039122626185417175,1.8859950304031372,0.2631901502609253,0.18247517943382263
8,1.0030559301376343,0.0004431548295542598,0.0004430856788530946,-0.0004430856788530946,1.8733919858932495,0.2599875330924988,0.18698184192180634
9,1.0034985542297363,0.0004975023330189288,0.0004493471060413867,-0.00043393936357460916,1.8603721857070923,0.2567417025566101,0.19120846688747406
10,1.0035063028335571,0.0005190612864680588,0.00048746916581876576,-0.0004781676398124546,1.8468601703643799,0.2533194422721863,0.19722557067871094
11,1.0033797025680542,0.0005309937987476587,0.0005262455670163035,-0.0005258008604869246,1.832743525505066,0.24974267184734344,0.2048061341047287
12,1.0004099607467651,-3.6374338378664106e-05,-3.6374338378664106e-05,3.6374338378664106e-05,1.7671995162963867,0.23483246564865112,0.19762033224105835
13,1.0004829168319702,-3.470787487458438e-05,-3.470787487458438e-05,3.470787487458438e-05,1.7529557943344116,0.23126986622810364,0.20356594026088715
14,1.0005478858947754,-3.132217898382805e-05,-3.132217898382805e-05,3.132217898382805e-05,1.737986445426941,0.22752413153648376,0.20972688496112823
15,1.000606656074524,-2.652272814884782e-05,-2.652272814884782e-05,2.652272814884782e-05,1.7222890853881836,0.22359499335289001,0.2151118665933609
16,1.0006604194641113,-2.0420025975909084e-05,-2.0420025975909084e-05,2.0420025975909084e-05,1.7059087753295898,0.2194938063621521,0.22039394080638885
17,1.00071120262146,-1.3063834558124654e-05,-1.3063834558124654e-05,1.3063834558124654e-05,1.6888185739517212,0.21521389484405518,0.2249942421913147
18,1.000760555267334,-4.8559136303083505e-06,-4.8559136303083505e-06,4.8559136303083505e-06,1.6711028814315796,0.21077677607536316,0.22809691727161407
19,1.0008097887039185,3.915714387403568e-06,3.915714387403568e-06,-3.915714387403568e-06,1.652966856956482,0.20623400807380676,0.22946201264858246
20,1.0008598566055298,1.3176148968341295e-05,1.3176148968341295e-05,-1.3176148968341295e-05,1.6345854997634888,0.2016294002532959,0.2281004935503006
21,1.0009115934371948,2.282008972542826e-05,2.282008972542826e-05,-2.282008972542826e-05,1.616270661354065,0.19704103469848633,0.22354243695735931
